site1_index,site2_index,site1_element,site2_element,bond_distance,site1_coord_num,site2_coord_num,delta_electronegativity,delta_ionic_radius,sum_covalent_radii,avg_bader_charge,delta_bader_charge,bond_midpoint_density,bond_density_laplacian,bond_midpoint_elf,elf_type,bond_charge_transfer,bond_elf_from_0simplex,bond_elf_asymmetry,bond_density_from_0simplex,bond_density_gradient,bond_effective_charge,bond_charge_imbalance,lie_algebra_incompatibility,quotient_algebra_orbit_size,pseudo_symplectic_coupling,tensor_algebraic_environment_alignment,lie_algebraic_bond_alignment_a,lie_algebraic_bond_alignment_b,lie_algebraic_bond_alignment_c,delta_structure_chemistry_incompatibility,bond_ends_anisotropy_mismatch
0,19,Cs,Cl,3.576878001786895,8,4,2.37,0.07000000000000006,3.3099999999999996,0.0856274999999993,1.5885050000000014,0.06299384526331525,0.005422731601633259,0.04357094667084045,standard,1.5885050000000014,0.1387398791531691,0.19516249166690303,1216.0687020812238,59.1671988121951,0.0856274999999993,-0.9999999999993704,4.378979551257938e-06,8,1.0,0.5502900985628112,0.24311673443458898,0.32001435744089984,0.4326915669923922,0.12771843602178823,0.0010445099750820974
0,31,Cs,Cl,3.57687800178691,8,4,2.37,0.07000000000000006,3.3099999999999996,0.0856274999999993,1.5885050000000014,0.06356087355619605,0.006713688599340531,0.045256830639773545,standard,1.5885050000000014,0.1387398791531697,0.1951624916669018,1216.0687020812256,59.16719881219574,0.0856274999999993,-0.9999999999993704,4.37897957608285e-06,8,1.12178537574389,0.5502900985628096,0.24311673443458895,0.3200143574408986,0.43269156699239436,0.12771843602178823,0.0010445099750812092
0,26,Cs,Cl,3.576221334893582,8,4,2.37,0.07000000000000006,3.3099999999999996,0.08486350000000087,1.5900329999999983,0.06322880827281055,0.005466262106519198,0.040293541269392934,standard,1.5900329999999983,0.1423604808801732,0.1879212882128948,1429.2711033842788,178.4113998312325,0.08486350000000087,-0.9999999999993711,7.342669829352614e-07,8,1.0,0.5486597144011789,0.24311673443458898,0.3199474126257619,0.43281473980433915,0.12771843602178823,0.00028218519961631383
0,38,Cs,Cl,3.5762213348936087,8,4,2.37,0.07000000000000006,3.3099999999999996,0.08486350000000087,1.5900329999999983,0.06379808761855027,0.006762954353916705,0.04181310075597589,standard,1.5900329999999983,0.14236048088017392,0.18792128821289342,1429.2711033841297,178.4113998311477,0.08486350000000087,-0.9999999999993711,7.342669899136966e-07,8,1.1217194712683618,0.548659714401179,0.24311673443458903,0.31994741262576176,0.4328147398043394,0.127718436021788,0.0002821851996165359
0,23,Cs,Cl,3.908192867481965,8,6,2.37,0.07000000000000006,3.3099999999999996,0.05682550000000042,1.6461089999999992,0.03341019061190406,0.0032463854690778565,0.023888473251349764,standard,1.6461089999999992,0.14414318023266395,0.18435588950791332,1427.457965752432,162.32883092326892,0.05682550000000042,-0.9999999999993925,0.02779518160845475,8,1.1165897498851325,0.9806690672451144,0.37160870647415223,0.36422428351002173,0.24311673443458792,0.5484663710628793,0.010748168144696701
0,18,Cs,Cl,3.908192867481966,8,6,2.37,0.07000000000000006,3.3099999999999996,0.05682550000000042,1.6461089999999992,0.03341019059661265,0.0032463855020801063,0.023888473251354084,standard,1.6461089999999992,0.1441431802326637,0.18435588950791382,1427.4579657524387,162.32883092327233,0.05682550000000042,-0.9999999999993925,0.02779496217375509,8,1.1165897494551011,0.9806690676649416,0.3716087064741525,0.36422428351002156,0.24311673443458787,0.5225577308706165,0.010748168141862413
0,24,Cs,Cl,3.9597614952345355,8,6,2.37,0.07000000000000006,3.3099999999999996,0.056825999999999155,1.6461080000000017,0.03015683372890605,0.0029761692729131815,0.021328354889446826,standard,1.6461080000000017,0.14414319358400696,0.1843558628052273,1427.4568614186283,160.21423797794273,0.056825999999999155,-0.9999999999993925,0.02779531453218938,8,1.1170186483316291,0.9806690669656688,0.36375274421877324,0.3721008481441984,0.24311673443458787,0.5225575651729066,0.010748168158484894
0,17,Cs,Cl,3.9597615729555344,8,6,2.37,0.07000000000000006,3.3099999999999996,0.05682550000000042,1.6461089999999992,0.030156832950039347,0.0029761690852956927,0.021328350601363892,standard,1.6461089999999992,0.1441431795057648,0.18435589096171162,1427.4579953970679,160.21480758417457,0.05682550000000042,-0.9999999999993925,0.027795182482463997,8,1.1170186430922613,0.9806690672432595,0.3637527514389432,0.3721008405888024,0.24311673443458787,0.5484663715072402,0.010748168143558834
1,34,Cs,Cl,3.5815357368595917,8,4,2.37,0.07000000000000006,3.3099999999999996,0.08366650000000142,1.5856030000000025,0.0632837221237782,0.006710650390471512,0.044224388718450656,standard,1.5856030000000025,0.14472365095372625,0.1584073365858793,5442.097165778458,1886.5126646642725,0.08366650000000142,-0.9999999999993693,2.9560282861786877,16,1.1216657031998858,0.5497348989844559,0.3204570135804085,0.24313619597366626,0.43182203850629786,0.8563934703339318,0.0004799849930466893
1,22,Cs,Cl,3.581535736859603,8,4,2.37,0.07000000000000006,3.3099999999999996,0.08366650000000142,1.5856030000000025,0.06328372212377742,0.006710650390471372,0.044224388718456215,standard,1.5856030000000025,0.14472365095372444,0.1584073365858829,5442.097165778292,1886.5126646643594,0.08366650000000142,-0.9999999999993693,2.956028286180232,16,1.1216657031998842,0.549734898984455,0.3204570135804074,0.2431361959736663,0.43182203850630013,0.8563934703339313,0.00047998499304546804
1,33,Cs,Cl,3.581535736859589,8,4,2.37,0.07000000000000006,3.3099999999999996,0.08235700000000179,1.5882220000000018,0.06328372210953544,0.006710650418516803,0.04422438871844615,standard,1.5882220000000018,0.1447236509537262,0.1584073365858794,5442.097165778452,1886.5126646642773,0.08235700000000179,-0.9999999999993703,2.9560332001579446,16,1.121665703044741,0.5497348964525459,0.3204570135804084,0.24313619597366626,0.43182203850629813,0.8563934703339311,0.0004799826597708945
1,21,Cs,Cl,3.5815357368596015,8,4,2.37,0.07000000000000006,3.3099999999999996,0.08235700000000179,1.5882220000000018,0.06328372210953447,0.006710650418516746,0.044224388718452044,standard,1.5882220000000018,0.14472365095372405,0.15840733658588368,5442.097165778291,1886.5126646643605,0.08235700000000179,-0.9999999999993703,2.956033200159362,16,1.12166570304474,0.5497348964525448,0.3204570135804072,0.24313619597366637,0.4318220385063005,0.8563934703339313,0.0004799826597695622
