site_index,T_struct_00,T_struct_01,T_struct_02,T_struct_10,T_struct_11,T_struct_12,T_struct_20,T_struct_21,T_struct_22
0,30.904482332688477,-3.1482037029757874e-07,1.2395056275911899e-15,-3.1482037029757874e-07,48.95101544223348,-1.742061356280189e-13,1.2395056275911899e-15,-1.742061356280189e-13,33.21869856937958
1,48.98956960981282,-3.084009846936716e-07,5.0012018315699316e-15,-3.084009846936716e-07,30.99987253964215,-3.7203573555188996e-13,5.0012018315699316e-15,-3.7203573555188996e-13,33.21869856937958
2,30.904483503910193,3.0415530190388404e-07,2.468754853340791e-15,3.0415530190388404e-07,48.951015454346475,2.0719710669414582e-13,2.468754853340791e-15,2.0719710669414582e-13,33.21869856937958
3,48.98956848076427,3.1057469086799794e-07,1.317193177138257e-15,3.1057469086799794e-07,30.999872539331268,4.43312053732825e-13,1.317193177138257e-15,4.43312053732825e-13,33.21869856937958
4,30.904482332688477,-3.1482037029757874e-07,4.91699849337319e-15,-3.1482037029757874e-07,48.95101544223348,1.6891522902628964e-13,4.91699849337319e-15,1.6891522902628964e-13,33.21869856937958
5,48.98956960981282,-3.084009846936716e-07,1.0490361471869033e-14,-3.084009846936716e-07,30.99987253964215,3.6720626539477053e-13,1.0490361471869033e-14,3.6720626539477053e-13,33.21869856937959
6,30.904483503910193,3.0415530190388404e-07,-4.147501148229187e-21,3.0415530190388404e-07,48.951015454346475,-1.906682277341698e-13,-4.147501148229187e-21,-1.906682277341698e-13,33.21869856937958
7,48.98956848076427,3.1057469086799794e-07,5.151764644511205e-15,3.1057469086799794e-07,30.999872539331268,-4.332367797843517e-13,5.151764644511205e-15,-4.332367797843517e-13,33.21869856937958
8,16.305658187823497,0.06137855733712255,9.938344542084643e-16,0.06137855733712255,16.384476554154844,1.0539047426893698e-15,9.938344542084643e-16,1.0539047426893698e-15,16.60934928468986
9,16.305658183253833,-0.061378558594661896,9.971284020672368e-16,-0.061378558594661896,16.384476554250107,1.0152034782800187e-15,9.971284020672368e-16,1.0152034782800187e-15,16.609349284690307
10,16.305658189624374,0.06137855231437512,1.0022174509422892e-15,0.06137855231437512,16.384476554250107,1.007621780301819e-15,1.0022174509422892e-15,1.007621780301819e-15,16.60934928469031
11,16.305658183399206,-0.06137855833679798,1.0022767518859613e-15,-0.06137855833679798,16.384476554154844,1.0400269548815553e-15,1.0022767518859613e-15,1.0400269548815553e-15,16.60934928468986
12,16.30565818782347,0.06137855733706987,2.4704207445299457e-15,0.06137855733706987,16.38447655415517,5.954198169858514e-16,2.4704207445299457e-15,5.954198169858514e-16,16.609349284689728
13,16.305658183253815,-0.061378558594755106,-7.113044889780034e-18,-0.061378558594755106,16.384476554249744,-4.145611812124137e-17,-7.113044889780034e-18,-4.145611812124137e-17,16.609349284689284
14,16.305658189624356,0.061378552314466796,1.885818569372662e-15,0.061378552314466796,16.384476554249744,3.039412775213568e-15,1.885818569372662e-15,3.039412775213568e-15,16.60934928468928
15,16.30565818339918,-0.06137855833674384,2.529353763039064e-18,-0.06137855833674384,16.38447655415517,1.588449042194844e-17,2.529353763039064e-18,1.588449042194844e-17,16.609349284689724
16,9.896085323083527,0.11619035992667773,2.6645352591003757e-15,0.11619035992667773,15.49978716405047,9.992007221626409e-16,2.6645352591003757e-15,9.992007221626409e-16,16.609349284689817
17,30.90452121908911,0.001089080764990955,9.85179368861946e-14,0.001089080764990955,30.99960175958728,-1.6463419339701634e-14,9.85179368861946e-14,-1.6463419339701634e-14,16.60934928468979
18,30.90452121739085,-0.0010890754501086438,8.061998541942811e-14,-0.0010890754501086438,30.999601760105882,2.0996412323361183e-14,8.061998541942811e-14,2.0996412323361183e-14,16.60934928468979
19,15.372446167986629,-7.660448904217176e-08,9.41290845043819e-16,-7.660448904217176e-08,9.928196528383964,8.881784197001252e-16,9.41290845043819e-16,8.881784197001252e-16,16.609349284689664
20,15.531709394756799,7.134331061317617e-08,9.51042914147307e-16,7.134331061317617e-08,9.792866719580998,3.552713678800501e-15,9.51042914147307e-16,3.552713678800501e-15,16.609349284689877
21,9.896085007107692,-0.11619036078844673,-8.881784197001252e-16,-0.11619036078844673,15.499787164074514,9.575673587391975e-16,-8.881784197001252e-16,9.575673587391975e-16,16.60934928468991
22,9.896085297622578,0.116190359769334,2.6645352591003757e-15,0.116190359769334,15.499787164074514,9.992007221626409e-16,2.6645352591003757e-15,9.992007221626409e-16,16.60934928468991
23,30.9045212193371,0.001089080730745166,-7.692395743454225e-14,0.001089080730745166,30.999601760105882,1.9752824655056793e-14,-7.692395743454225e-14,1.9752824655056793e-14,16.609349284689788
24,30.904521229352177,-0.0010890892563634532,-9.091372692591536e-14,-0.0010890892563634532,30.99960175958728,-1.6515632298170022e-14,-9.091372692591536e-14,-1.6515632298170022e-14,16.609349284689788
25,15.372446121927657,-7.660449164722884e-08,9.4129084222352e-16,-7.660449164722884e-08,9.928196533029816,-8.881784197001252e-16,9.4129084222352e-16,-8.881784197001252e-16,16.609349284689877
26,15.53170944105374,7.134331127294571e-08,9.510429169821773e-16,7.134331127294571e-08,9.792866715732046,0.0,9.510429169821773e-16,0.0,16.60934928468966
27,9.896085032568665,-0.11619036094579319,-1.7763568394002505e-15,-0.11619036094579319,15.49978716405047,9.853229343548264e-16,-1.7763568394002505e-15,9.853229343548264e-16,16.609349284689813
28,9.896085323083607,0.11619035992681218,2.6645352591003757e-15,0.11619035992681218,15.499787164050526,4.163336342344337e-17,2.6645352591003757e-15,4.163336342344337e-17,16.60934928468977
29,30.90452121908911,0.001089080764990955,-9.241312469591864e-14,0.001089080764990955,30.99960175958728,2.0075189236273446e-14,-9.241312469591864e-14,2.0075189236273446e-14,16.60934928468979
30,30.90452121739085,-0.0010890754501086438,-7.45032197082855e-14,-0.0010890754501086438,30.999601760105882,-1.956631077553522e-14,-7.45032197082855e-14,-1.956631077553522e-14,16.60934928468979
31,15.37244616798672,-7.660449001486991e-08,1.9721522630525295e-31,-7.660449001486991e-08,9.92819652838393,1.7763568394002505e-15,1.9721522630525295e-31,1.7763568394002505e-15,16.60934928468992
32,15.531709394756708,7.134331167014693e-08,0.0,7.134331167014693e-08,9.792866719581031,-2.6645352591003757e-15,0.0,-2.6645352591003757e-15,16.609349284689713
33,9.89608500710772,-0.116190360788391,1.7763568394002505e-15,-0.116190360788391,15.499787164074469,-2.7755575615628914e-17,1.7763568394002505e-15,-2.7755575615628914e-17,16.609349284689678
34,9.896085297622609,0.1161903597692733,8.881784197001252e-16,0.1161903597692733,15.499787164074469,2.4980018054066022e-15,8.881784197001252e-16,2.4980018054066022e-15,16.609349284689678
35,30.9045212193371,0.001089080730745166,7.946295205711999e-14,0.001089080730745166,30.999601760105882,-1.4639011087019508e-14,7.946295205711999e-14,-1.4639011087019508e-14,16.60934928468979
36,30.904521229352177,-0.0010890892563634532,9.712021789619771e-14,-0.0010890892563634532,30.99960175958728,2.019231417670738e-14,9.712021789619771e-14,2.019231417670738e-14,16.609349284689806
37,15.372446121927638,-7.660449175717188e-08,0.0,-7.660449175717188e-08,9.928196533029869,3.552713678800501e-15,0.0,3.552713678800501e-15,16.609349284689713
38,15.531709441053762,7.134331099952003e-08,2.4751120033378422e-15,7.134331099952003e-08,9.792866715732123,-3.552713678800501e-15,2.4751120033378422e-15,-3.552713678800501e-15,16.609349284689927
39,9.89608503256874,-0.1161903609459228,3.552713678800501e-15,-0.1161903609459228,15.499787164050526,-5.551115123125783e-17,3.552713678800501e-15,-5.551115123125783e-17,16.609349284689777
