atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,structure_chemistry_incompatibility,chemical_in_structural_metric,charge_weighted_local_size,elf_weighted_local_anisotropy
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4298065454640579,0.87988,-324.9377424809474,1110.2517761518482,0.23632112498662067,0.0,9.702842607674994e-43,1.0619715295236283,3.032978589350712,,0.04783726501418928,0.03766140636346819,14.134274543037693,0.15041381210704496,0.5,1.3693803131537459,121.18343650890442,101.9529981833889,0.008900185920393076
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.42430772212823364,0.8764680000000027,-337.72429198184597,8820.403429046055,0.22392731924666592,0.0,9.704032823319491e-43,1.0616220138430812,3.032914864710529,,0.046870931624511725,0.036681949199256644,14.15101758985432,0.15007138059381295,0.5,2.3534922195094654,88.3004786318686,91.11156195858376,0.008214090548931925
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4298065325866288,0.87988,-336.83139958298074,6980.431842691659,0.22484115431770899,0.0,9.702842715890697e-43,1.0619715285358733,3.0329785893099843,,0.04783726963848179,0.037661406522754945,14.134274690954532,0.15041380443937571,0.5,1.3693803071340416,121.18343668914413,83.73240978495585,0.008467834115804717
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.42430773298499197,0.8764680000000027,-337.72429189231127,8820.403429741677,0.22616718090953353,0.0,9.704032716548592e-43,1.0616220144720083,3.032914864772256,,0.046870926698159204,0.03668194918603512,14.15101744868439,0.1500713721833385,0.5,2.353492215995859,88.30047877119792,98.51101456675107,0.008296253037672322
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4298065454640568,0.87988,-324.93774248094735,1110.251776151848,0.2363211249866231,0.0,9.702842607656638e-43,1.0619715295236432,3.0329785893506735,,0.04783726501418925,0.03766140636346819,14.134274543037693,0.15041381210704502,0.5,1.3693803131537055,121.18343650890532,105.68086632022184,0.00890018592039317
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4243077221282333,0.8764680000000027,-337.7242919818459,8820.40342904604,0.22392731924666356,0.0,9.704032823346966e-43,1.061622013843053,3.0329148647105337,,0.046870931624511614,0.036681949199256644,14.15101758985432,0.15007138059381303,0.5,2.3534922195094654,88.30047863187053,98.54004937750685,0.008214090548931838
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4298065325866288,0.87988,-336.83139958298057,6980.431842691646,0.22484115431770813,0.0,9.702842715931737e-43,1.0619715285358104,3.032978589309948,,0.04783726963848178,0.037661406522754945,14.134274690954532,0.15041380443937566,0.5,1.3693803071340898,121.1834366891431,91.16722247808625,0.008467834115804684
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.42430773298499164,0.8764680000000027,-337.72429189231104,8820.403429741613,0.22616718090953336,0.0,9.704032716435256e-43,1.0616220144720003,3.0329148647722852,,0.046870926698159156,0.03668194918603512,14.15101744868439,0.15007137218333838,0.5,2.353492215995859,88.30047877119563,102.24205575726715,0.008296253037672315
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.6704951178137686,1.3085499999999968,-218.45423508204175,16084.410169824741,0.13409076661762512,0.0,1.685728181584078e-42,1.1439887569973697,0.4729825800509647,4.997050371453135,0.0040176880247268605,0.0004767277285611305,8.216580671111366,0.005941784096117469,0.041666666666666664,0.8147606357968844,18.167582085198028,40.22178973693731,6.392478659064109e-05
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.6704951164469823,1.3085449999999952,-218.45424211904128,16084.4299076219,0.1340907989449786,0.0,1.685728181375299e-42,1.1439887564359428,0.4729825819293694,4.997050371584079,0.004017684845790663,0.0004767006469322132,8.216580670365708,0.005941784172737155,0.041666666666666664,0.8147606357968727,18.134287126094367,37.875543712615055,6.392117060472863e-05
