atom_index_i,atom_index_j,atom_index_k,atom_symbol_i,atom_symbol_j,atom_symbol_k,triangle_area,bond_angle_variance,triangle_shape_factor,avg_atomic_incompatibility,variance_atomic_incompatibility,avg_bader_charge,variance_bader_charge,avg_vectorial_asymmetry,max_vectorial_asymmetry,avg_bond_alignment,variance_bond_alignment,avg_bond_gradient,max_bond_gradient,avg_bond_distance,variance_bond_distance,geometric_centroid_density,geometric_centroid_elf,geometric_centroid_laplacian_of_density,structural_tensor_product_trace,total_density_gradient_flux,point_group_reduction_factor,structure_tensor_normal_projection,hierarchical_stress_flow
15,35,37,Pb,Cl,Cl,4.116390788772787,0.1373597342948633,0.8913048473401955,1.0442577756877613,0.10253878416440149,-0.05543666666666761,0.9307760111028837,2.732122300912803,8.177532121280713,0.7838087368185389,0.04163199110847794,5071.727825242477,5167.626292975672,2.8693101567461303,0.00015811178883534636,0.16031416764939632,0.20818642516631997,0.018299684040766637,17371.141054471453,226.42362046133047,0.75,57.59008167032029,0.4726523826102426
7,27,29,Cs,Cl,Cl,6.422118257102154,0.4484565257854054,0.6981913087941795,1.5571683022726326,0.3932702034392502,-0.20050499999999852,0.580430008968668,2.914103340011261,8.687269991565131,0.5674238301530592,0.0003128982715999572,1887.5402849197,1975.8034448394276,3.7570406341511737,0.030801968456689,0.20024991197717795,0.7262464769989749,0.017985872181709585,39041.755599330085,12754.696731667937,0.75,79.96634877131058,2.9675049200628014
5,15,34,Cs,Pb,Cl,5.055442028518957,0.2300624320359735,0.81909256174205,1.5551172014939603,0.39629888485715187,0.4919593333333327,0.7524288877708868,2.908142440734346,8.687268671820997,0.7688365074669674,0.048005514839623696,3400.3205459016735,4914.128427139078,3.2173319582637028,0.1326443923435225,0.11725778516074689,0.5362937040120955,0.009554846195290961,24941.152455459203,2624.0614409575,0.75,71.79289782197847,3.0683813777021323
5,7,30,Cs,Cs,Cl,0.05928965603736458,2.177225655514296,0.004977182753614957,1.8512690059294854,0.5044563089879754,0.3289023333333354,0.5996563186242235,0.030573984747240334,0.0366819491992566,0.585112731282399,4.3976340406465766e-17,1798.7120897177106,1799.2771408337794,3.933781294270739,1.5271184507319393e-06,1755.9896654938207,0.04996539921050978,-8765.261212416524,122288.65636456036,-7.57771342288646e-12,0.6,83.04674642344895,0.05541452417469516
4,26,31,Cs,Cl,Cl,0.0015975743562841593,2.192722309747279,0.0001622386985291862,1.454525937168258,0.0036248886444137634,-0.17963266666666655,0.5612839345442221,5.64328652306614,8.714666059259152,0.5494749064819942,6.645381286243717e-07,118.7892993217142,178.4113998312326,3.5765496683402462,1.078028521986611e-07,8918.421306341299,0.23632112976805414,-31733.657054363077,21302.111206041234,-0.1350338514164322,1.0,61.808637941728946,5.113246539401337e-06
0,18,24,Cs,Cl,Cl,0.16543210697915844,2.1486927314792053,0.013886820952192288,1.021008547805905,0.060681443445790184,-0.21752566666666695,0.6021495986162225,0.024792530113255867,0.0376614063634681,0.9806690673153051,1.2224559500803713e-19,161.27153445060753,162.32883092327236,3.9339771813582507,0.0006648308420708057,8270.157424774668,0.23781648167803726,-28674.558319861066,85721.3202181105,1.4834026399870262e-11,0.75,66.43739713875917,0.05558709997483098
1,22,34,Cs,Cl,Cl,6.128600813341909,0.33856607440882874,0.7623107377141211,1.7825632392868442,0.162979950229021,-0.18060066666666566,0.558697083024224,5.8037397642803485,8.687268671820997,0.5497348989844555,1.9721522630525295e-31,1886.5126646643162,1886.5126646643596,3.5815357368595975,2.8398992587956425e-29,0.16196349697141244,0.6540202123722941,0.01791757083677007,21410.324389553185,-23962.966143653528,0.75,61.99329807507182,4.756972091277969
1,33,34,Cs,Cl,Cl,6.128152591103462,0.025105970761640364,0.9773817648326513,1.7825632392868445,0.16297995022902095,-0.18147366666666542,0.5596214282282238,5.803740201032589,8.687269982077515,0.5497348977185009,1.602642080989131e-18,1886.5126646642748,1886.5126646642773,3.581535736859591,2.465190328815662e-30,0.02556335898262049,0.02786157826344543,0.0035959765804465657,21408.16450363421,23965.609480550065,0.75,62.00022270411879,3.5099420640502164
10,20,22,Pb,Cl,Cl,4.096834039185872,0.13382340935015932,0.8938177179029178,1.269652711382651,0.10346340021536325,-0.036912666666667114,0.9051350664175518,5.800803821925652,8.714666075612156,0.9875260949719021,1.903459475176288e-07,4953.223035467954,5013.241250343194,2.862487794190632,8.047273748493538e-06,0.16226100761248713,0.20879448540354253,0.01982830604934168,9575.396654339242,598.1479198614852,0.75,49.82804785407009,0.6851030186245949
6,7,35,Cs,Cs,Cl,7.790600173603494,0.1328039421626339,0.8945329570070278,1.514595488406939,0.4020097520436534,0.33003966666666784,0.6009044350482227,0.0309004786612336,0.0376614065227549,0.7828909151944743,0.039116198371541316,1560.1951037126241,1798.1470386016456,3.947389315772966,0.00015307269776265888,0.02247739098641227,0.1799853952543068,0.0017879019504998853,112158.60701825554,-3.6900179386532947e-10,0.6,83.04674642344895,0.03908438180112245
2,18,24,Cs,Cl,Cl,0.16543211228610977,2.1486927317811673,0.013886820857653429,1.0210085457993368,0.0606814420477268,-0.21752566666666695,0.6021495986162225,0.024792530166351467,0.0376614065227549,0.9806690693844751,1.2224629372287314e-19,1330.9669541272,1339.6907394308005,3.9339772578472854,0.0006648308013389613,8033.767212359726,0.228873954672117,-38718.77800194648,85721.32134828884,-3.163836769104554e-11,0.75,66.43739713875917,0.05558726285517656
2,15,37,Cs,Pb,Cl,5.056687194674529,0.2286418572433707,0.8202217169658496,1.2270798973688193,0.08772225347119818,0.4932663333333321,0.7528982041668854,2.7385567429954176,8.177532121280713,0.7690690138600549,0.04786421281171918,3374.802693954225,5167.626292975672,3.2168069539891135,0.12965115980067907,0.11666517215456434,0.5292882978387108,0.00954459797513844,24873.288519975245,1245.680123481924,0.6,71.77812774570882,0.4725739378949652
11,25,27,Pb,Cl,Cl,4.092489511999799,0.13137313850806615,0.8955540565119211,1.269652711382647,0.10346340021536697,-0.03727833333333427,0.9056218530028836,5.62175960467616,8.687269991565131,0.9879051536595411,3.274896572148442e-09,5086.223643596062,5167.626292975599,2.8610302231926545,1.844116254472189e-05,0.1613146926139403,0.20625740022021255,0.019764974498240228,9584.065151208659,-2093.996856394544,0.75,49.82804785406955,0.6652557092158865
0,10,19,Cs,Pb,Cl,5.056687006558958,0.22864186272656453,0.8202217103507362,1.2270798993753884,0.08772225404226841,0.4932683333333318,0.7529001205055549,2.7385567427610993,8.177532103575825,0.7690690127205055,0.047864213280019816,2613.3936322468976,5167.6200656816,3.2168069019101937,0.12965119696641747,0.11666518261113239,0.5292883282264256,0.009544598637054159,24873.288246149074,-1021.0100553308363,0.6,71.77812771733211,0.4725744492381438
