atom_index_i,atom_index_j,atom_index_k,atom_symbol_i,atom_symbol_j,atom_symbol_k,triangle_area,bond_angle_variance,triangle_shape_factor,avg_bader_charge,variance_bader_charge,avg_structure_chemistry_incompatibility,variance_structure_chemistry_incompatibility,avg_tensor_variance,var_tensor_variance,avg_bond_distance,variance_bond_distance,avg_tensor_alignment,variance_tensor_alignment,density_at_barycenter,density_laplacian_at_barycenter,elf_at_barycenter,elf_barycenter_uncertainty,vfe_laplacian_variance,vfe_variance,lie_commutator_flux,structural_tensor_product_trace,structure_tensor_normal_projection,solid_angle_variance,triangle_sphericity,alpha_filtration_value
3,24,59,Cs,I,I,5.978910958658147,0.7573689747450691,0.5423807317465262,-0.12950066666666515,0.44426464905355484,0.0949205055979821,1.6429248034405384e-05,77.414163586535,575.398064387332,3.9661916410241513,0.0013377910932290654,0.9227282379961602,0.0003685231838083824,0.5604323128578192,0.023470323137646312,0.8028670378333932,0.0,1.0159071433430564,0.11287857148256182,68.8237496685783,73089.52194096384,93.57289020047817,1171.1720104482495,0.24622286473599475,40.787992339419276
10,34,56,Cs,I,I,5.310672375182273,0.8977595010942024,0.4778381068861585,-0.1446360000000008,0.4582939764986686,0.0949205055979821,1.6429248034405384e-05,95.64711884885982,17.079441024362126,3.938098672524097,7.195949768488237e-05,0.910152058352982,4.383481246894793e-05,0.9132234924377668,0.03311306890177313,0.7328227820136662,0.0,0.9217838371869259,0.10242042635410291,49.17071721502827,77949.60402309443,96.6808097868101,1162.2447111824542,0.2455783767422684,40.57173557183416
0,2,29,Cs,Cs,I,8.727579299219606,0.15716657500877187,0.8770141906886861,0.3625843333333331,0.40529825489355814,0.0920543890586204,1.642924803440538e-05,80.36137005430538,178.27215794613133,4.1806349653625485,0.011006088776227038,0.9898647061665421,2.3438113817149975e-07,0.03839346618939164,0.0029591305749867586,0.24280147482120376,0.0,0.034089768621112425,0.0037877520690124916,4.1617709248554515,187127.98373890933,82.2317370096134,1319.2999376020487,0.01249658376321899,514.54123588337
0,14,31,Cs,Pb,I,5.253293603591707,0.7923803927340133,0.517299589257391,0.4001706666666678,0.4419679257828903,0.09344527937247006,1.2325492298802e-05,51.39258351674501,1309.6543693228796,3.792970802692847,0.24262935732912275,0.9548264730075927,0.0011939863131842385,0.552090526077322,0.021538688506743373,0.6368006521293637,0.0,1.9690234735729455,0.21878038595254945,5.564464193444283,73412.66707907469,103.02150150879928,1178.3222543578959,0.15475921116695873,21.836292880787564
0,32,39,Cs,I,I,5.978910992245213,0.7573689409706349,0.5423807476816055,-0.12950233333333472,0.44426144767088943,0.0949205055979821,1.6429248034405384e-05,77.41416228618995,575.3975956950494,3.966191605822787,0.001337792528754731,0.9227282396585593,0.00036852313810314166,0.5604323117901193,0.0234703193637805,0.8023485412898038,0.0,1.015906439671671,0.11287849329685233,68.82377308271869,73089.52195733151,93.57289027460095,1171.1719945885843,0.1667262243328574,22.45104916515578
18,38,43,Pb,I,I,5.359951613273645,0.0921175270564754,0.9241205788838288,-0.06324233333333495,0.4890776838375508,0.09631139591183176,4.352584832876975e-06,36.081901211192154,602.3222795628448,3.2814994095203254,0.0003571037232902126,0.9447399300338453,0.000598661125045785,0.07974393124570305,0.0076917294526025835,0.11702967466943483,0.0,2.0772270387706566,0.23080300430785075,14.275515022964305,33513.545180025365,76.38784004075352,14.70214866616526,0.44015426018972137,4.920370535605191
3,7,24,Cs,Cs,I,7.720681042114913,0.032137354763287454,0.9714273518386359,0.3491946666666668,0.42977358392288756,0.0920543890586204,1.642924803440538e-05,74.49188624443653,468.83445780142694,4.002767451420783,2.63327555239532e-16,0.9419251943372684,1.7676575119416456e-18,0.02614638508977342,0.0018053375999367057,0.18068937898599913,0.0,0.008039163863598117,0.0008932404292886796,61.068973295703685,170339.7909801647,125.5931613931483,1180.031772987046,0.477750554060204,6.323851423291355
1,9,50,Cs,Cs,I,7.720680808933105,0.03213736284893899,0.9714273450573039,0.3490603333333316,0.4300236330135554,0.0920543890586204,1.642924803440538e-05,74.49187834744903,468.8337011341928,4.002767373303936,1.1973811710827277e-16,0.9419251911851791,1.6713304918180667e-18,0.02614638437348204,0.0018053376890061592,0.17323547224096447,0.0,0.008039190943448035,0.0008932434381608926,61.06898763546376,170339.78678070934,125.5931528544951,1180.031775684386,0.1495908890464849,61.96340395174236
5,26,35,Cs,I,I,7.8834324648166865,0.10655990647667496,0.9134134540855149,-0.12950033333333266,0.44426527722288656,0.0949205055979821,1.6429248034405384e-05,77.41417199979179,575.397733021317,3.974674516180069,0.0007892101948021666,0.92934900815697,0.00015816022119908652,0.0224940843111164,0.004233218825785539,0.1951997776326236,0.027863492056376775,1.0159068977255001,0.11287854419172223,41.416014868930795,77356.35481988768,87.56312236032889,1171.1720147443157,0.3767461005839989,16.723488735336886
10,49,53,Cs,I,I,7.842802779751784,0.007533408348509174,0.992456598514877,-0.10097400000000079,0.41771481936866844,0.0949205055979821,1.6429248034405384e-05,65.05068913375592,358.003868439605,4.144156118361524,0.019990783918646487,0.9656528835924035,0.0005630035540756923,0.01625627259755532,0.0013841602776814965,0.015118958084049885,0.0,0.025574429146006255,0.002841603238445139,33.54870093695382,81537.06912881529,88.59343516726231,1251.6074401438657,0.4943603522310984,6.129339390986889
1,9,59,Cs,Cs,I,7.548873095713308,0.037888612785610475,0.9666390837964126,0.3340586666666662,0.45829844431021965,0.0920543890586204,1.642924803440538e-05,92.72484191801232,17.079509825586992,3.946581645947801,1.0795973585647302e-16,0.9167728330177758,7.48788759192925e-19,0.03086136065068655,0.002071702205072713,0.22090886198052564,0.0,0.9217842510016183,0.10242047233351315,21.76297635720988,179672.15960183757,121.76402136385565,1162.2447206578452,0.30805356164708836,56.52476820614188
6,41,46,Cs,I,I,7.595089626121219,0.006121669166703008,0.9936243121758901,-0.11610833333333422,0.4326106577928885,0.0949205055979821,1.6429248034405384e-05,83.28364684541349,250.53114321239707,4.10758030470703,0.03167140283865867,0.9464559275842893,0.0018425256893059964,0.017716501994233413,0.0015891221068363801,0.016359757397453434,0.0,1.1331406516429865,0.12590451684922074,41.3034490564742,85668.75063125553,86.79382049148106,1243.2598066759667,0.49530455088067366,5.92009388027531
9,45,52,Cs,I,I,7.547358376027089,0.01714590954647714,0.9841009362320725,-0.11610700000000189,0.43261217736466673,0.0949205055979821,1.6429248034405384e-05,83.28364413277603,250.53121393182892,4.0026704301352645,0.0053369936971931434,0.9469400518837602,0.0018843224994564798,0.01819203873164723,0.001658422607131562,0.013653062311229112,0.0,1.1331416545664925,0.12590462828516577,39.43679311188312,84238.24437067089,91.12511829428055,1243.2598100058833,0.21183924024304948,33.685285837264395
4,22,43,Cs,Pb,I,5.253293520821892,0.7923804155024122,0.5172995807096091,0.4001833333333333,0.44194566534288765,0.09344527937247006,1.2325492298802e-05,51.392582957027294,1309.6542548286614,3.79297079746559,0.24262930361083762,0.9548264684524483,0.0011939866302682314,0.5520905377650613,0.021538699394368442,0.6398316048950144,0.0,1.969023330006593,0.21878037000073255,5.564458643471781,73412.6667868638,103.02150068300551,1178.3222532135758,0.15475920571950275,21.836293713175486
4,41,56,Cs,I,I,7.547358579578277,0.01714592920730849,0.9841009193435016,-0.11610633333333453,0.43261150106822166,0.0949205055979821,1.6429248034405384e-05,83.28365108276371,250.53124136260772,4.0026704013108585,0.005336980199065788,0.9469400608705617,0.001884321780442981,0.01819203932755928,0.0016584227293648698,0.013456101719058982,0.0,1.1331397130681142,0.12590441256312382,39.436827688490226,84238.25099618046,91.12511698959435,1243.259783446218,0.21183922867913668,33.68528731400347
9,11,59,Cs,Cs,I,7.64325070632094,0.24014186524368988,0.8226066659078167,0.33405833333333373,0.4582981251802205,0.0920543890586204,1.642924803440538e-05,92.72484800481543,17.079474250931877,3.9380987338123212,7.195997457952871e-05,0.9101520568664025,4.383468830484968e-05,0.08553716284055327,0.005759896972792466,0.6394086001727151,0.0,0.9217843782752594,0.10242048647502883,49.170740622751566,176710.41405325365,119.33376664768825,1162.2447146270874,0.3032085451874644,17.42948261356986
5,38,45,Cs,I,I,7.827439998039599,0.09091780944119493,0.9249790391322449,-0.1293653333333348,0.44414417847022203,0.0949205055979821,1.6429248034405384e-05,77.4141655050078,575.397500158536,3.9661914980885165,0.001337791091845314,0.9227282232961294,0.000368523363298215,0.02109181573251911,0.0028791365065110146,0.032018842541950775,0.0,1.0159083013611867,0.11287870015124295,68.82372186571718,73089.51328092556,93.06992401155682,1171.1720211982336,0.44085285564005755,7.169393864524703
1,14,30,Cs,Pb,I,7.1953557301482345,0.07531525808375185,0.9272232031142701,0.40017299999999995,0.44196895081800264,0.09344527937247006,1.2325492298802e-05,51.39257522872549,1309.654002948426,3.8457172616167625,0.19344836615818198,0.9548264786420133,0.0011939860142055848,0.04063776433162773,0.0029262576057415505,0.20417611937643604,0.0,1.9690229696314159,0.21878032995904617,5.564459704823391,73412.6634928377,70.48434732391499,1178.322267124309,0.44610446539615073,6.45180953265782
10,23,55,Cs,Pb,I,0.9107254355192704,1.926317227466629,0.08472496072244082,0.4001620000000017,0.44198598394466887,0.09344527937247006,1.2325492298802e-05,51.39257996596782,1309.6541147355406,3.7408073489379947,0.11217001590618607,0.9553105953912877,0.001227678110672417,65.06481759165766,160.0103924390656,0.20166202071202305,0.0,1.9690234333395276,0.21878038148216974,3.6978655050121514,73531.98529372008,70.48434675514179,1178.322264927867,0.004283594562832318,809.2826744723825
10,53,56,Cs,I,I,5.194517649566176,1.0268127740848636,0.42074654489605234,-0.11610833333333422,0.4326095862948908,0.0949205055979821,1.6429248034405384e-05,83.28364885565496,250.5312258911243,4.116063227008489,0.02872403309930057,0.9530767121337187,0.0013179707872668183,1.139690622889779,0.05429221750308029,0.6858366316645212,0.0,1.1331398448597942,0.12590442720664383,13.895674069476733,85594.15215710031,95.46762229242105,1243.2597942940984,0.10232018072950812,40.17550137556426
16,17,40,Pb,Pb,I,5.620386554965733,0.13798604016314017,0.8906829672568107,0.43775733333333494,0.4758043521762268,0.09483616968631974,4.352584832876975e-06,22.423787314353238,762.6544004177713,3.353142796227944,0.002782192946509034,0.9202723661752468,8.087500569651212e-17,0.13392894159710106,0.007720427378667774,0.592276479363569,0.0,2.2093724502427743,0.2454858278047527,5.1005552693802185,30112.821918696747,63.26457226839564,19.526780335754022,0.36900157492880675,77.25117288560926
9,19,54,Cs,Pb,I,5.253293260234403,0.7923803617522002,0.5172996002948842,0.4001706666666654,0.441965523728219,0.09344527937247006,1.2325492298802e-05,51.392573224983586,1309.6539059783915,3.7929706472095397,0.24262942622212513,0.9548264800057399,0.001193985782452535,0.5520905483456284,0.021538685916713162,0.6368006084356806,0.0,1.969022990524418,0.2187803322804909,5.564461355887288,73412.66267076404,103.02150334115386,1178.322272248811,0.15475921841170936,21.836289875027923
2,7,24,Cs,Cs,I,7.272036261115615,0.49309901329113837,0.6753404183799222,0.34919433333333433,0.4297732748842216,0.0920543890586204,1.642924803440538e-05,74.49188006286633,468.8342685133604,4.038525365793218,0.0012786296007805049,0.9419251985008703,3.017452910552269e-17,0.1976979441614597,0.012661769590812517,0.7148749113042143,0.0,0.008039180160610015,0.0008932422400677794,61.06900633750597,170339.78576166992,113.42202766956449,1180.0317791158366,0.1183307801485755,99.54976978252779
23,27,55,Pb,I,I,5.538875564923373,0.09936946049102945,0.9183909353575948,-0.06339599999999967,0.48924108646467074,0.09631139591183176,4.352584832876975e-06,36.081899792241934,602.3221663809892,3.334245990838867,0.005132781630324526,0.9447399171143611,0.0005986614707909907,0.07450044400082655,0.007162661685859469,0.12416110873724034,0.0,2.077226425168134,0.23080293612979266,14.275513183266296,33513.545931266024,63.133714655028875,14.70214756193326,0.23210327194944114,40.38453358390503
7,19,42,Cs,Pb,I,6.699861866144012,0.19302909509366228,0.844548932764883,0.4001713333333304,0.4419642731695555,0.09344527937247006,1.2325492298802e-05,51.392584700694734,1309.6546671606825,3.688060664562067,0.15028371874879268,0.9553106048559457,0.0012276777217627227,0.09225153351169284,0.005838817860542291,0.5631113878747414,0.0,1.9690228417171707,0.2187803157463523,3.6978651085612677,73531.98537770587,87.98242449514699,1178.3222609570996,0.38044870919068696,7.52344160184586
18,26,46,Pb,I,I,5.06235159783304,0.15990678038929032,0.8751471523861976,-0.09191533333333506,0.5179187673495508,0.09631139591183176,4.352584832876975e-06,48.44536734960197,1536.0250744245186,3.1842531130339444,0.00613858608113423,0.9382388956716241,0.0009590533691853863,0.11426838368617497,0.011925428011355304,0.17544447402073268,0.0,1.577392934022028,0.17526588155800304,34.41713224809118,34028.98398587967,73.30845155728225,5.425601542888496,0.4014340439448844,5.290821457483762
