atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,site_symmetry_order,H0_persistence_max_death,H0_persistence_death_std,local_env_entropy,local_variational_free_energy,tensor_trace,tensor_determinant,tensor_eigenvalue_1,tensor_eigenvalue_2,tensor_eigenvalue_3,tensor_variance,structure_chemistry_incompatibility,charge_weighted_local_size,elf_weighted_local_anisotropy,lie_algebra_norm,lie_algebra_principal_angle
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.42981131156549746,0.8809380000000004,-337.0921660475682,7655.628614510244,0.23306691509231608,0.0,9.708453912523453e-43,1.0622565755995586,3.0328667214887544,,0.047838065754748416,0.03767935007621164,14.134259763463316,0.15041293653974064,0.5,4,4.236509032523605,0.06210476742956274,1.5,0.018439690728991653,113.07407810770653,50253.31797751817,48.95089759797324,33.218698569379576,30.904481940353715,64.28120032987981,0.05886174617495129,101.93443233748806,0.008781809884946073,0.0,0.0
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4243095597134179,0.8749099999999999,-338.1818742447601,8803.976241206423,0.22230110960554442,0.0,9.702766478822051e-43,1.0617159683562798,3.032839416162897,,0.04687117501948796,0.03666514209599995,14.151011159917214,0.15007101764852257,0.5,4,4.252650527261579,0.07246113292437935,1.5,0.022632632954592613,113.20808927933771,50448.20086110371,48.989519619311224,33.218698569379576,30.999871090646916,64.14104957269113,0.05886174617495129,91.05647913666543,0.008150701771785744,0.0,0.0
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.42981129869216167,0.8809380000000004,-336.26140084650183,6074.317263238564,0.2243519001616936,0.0,9.692730089068394e-43,1.062251727987234,3.0328683717179903,,0.047838070383524604,0.037679350235819774,14.134259911431231,0.1504129288650109,0.5,4,4.236509032523605,0.06210476742956274,1.5,0.018439700556373895,113.07407929144985,50253.31989530933,48.950897609777314,33.218698569379576,30.904483112292944,64.28119511594714,0.05886174617495129,83.88876264232131,0.008453433822264125,0.022683449275784782,0.0160396208036085
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.42430957061403773,0.8749099999999999,-338.18187415103637,8803.976242021245,0.2250370713677664,0.0,9.69600195191241e-43,1.0617164557635983,3.0328382238199385,,0.0468711700951903,0.036665142069633706,14.151011018533266,0.1500710092251364,0.5,4,4.252650527261579,0.07246113292437935,1.5,0.022632608706288915,113.20808814826613,50448.19969617451,48.989518488540014,33.21869856937958,30.999871090346524,64.14104109062549,0.05886174617495129,98.50838160730855,0.008251016192633454,0.18301763981708785,0.1294130141914199
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4298113115654963,0.8809380000000004,-337.09216604756824,7655.628614510412,0.2330669150923162,0.0,9.708453912541613e-43,1.0622565755995328,3.0328667214887766,,0.04783806575474837,0.03767935007621164,14.134259763463316,0.15041293653974055,0.5,4,4.236509032523605,0.06210476742956274,1.5,0.018439690728992653,113.07407810770653,50253.31797751817,48.95089759797323,33.218698569379576,30.904481940353715,64.28120032987975,0.05886174617495129,105.68268627433172,0.008781809884946076,0.0,0.0
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4243095597134172,0.8749099999999999,-338.18187424476014,8803.976241206448,0.22230110960554425,0.0,9.70276647880741e-43,1.061715968356302,3.032839416162815,,0.04687117501948787,0.03666514209599995,14.151011159917218,0.1500710176485222,0.5,4,4.252650527261579,0.07246113292437935,1.5,0.022632632954592835,113.20808927933774,50448.20086110371,48.98951961931121,33.2186985693796,30.99987109064694,64.14104957269085,0.05886174617495129,98.5345499324862,0.00815070177178574,0.0,0.0
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.4298112986921614,0.8809380000000004,-336.2614008465019,6074.3172632386395,0.22435190016169312,0.0,9.69273008903686e-43,1.0622517279872405,3.032868371717981,,0.04783807038352456,0.037679350235819774,14.134259911431231,0.15041292886501087,0.5,4,4.236509032523605,0.06210476742956274,1.5,0.018439700556374006,113.07407929144985,50253.31989530933,48.95089760977732,33.21869856937959,30.904483112292944,64.28119511594714,0.05886174617495129,91.28945599120313,0.008453433822264106,0.022683449275785916,0.0160396208036093
55,0.79,3.89390572743,0.47162600000000005,1,1.74,2.32,8,1,0.42430957061403735,0.8749099999999999,-338.1818741510366,8803.976242021405,0.22503707136776618,0.0,9.696001951897782e-43,1.0617164557636256,3.0328382238196885,,0.04687117009519024,0.036665142069633706,14.151011018533268,0.15007100922513633,0.5,4,4.252650527261579,0.07246113292437935,1.5,0.022632608706289137,113.20808814826614,50448.19969617451,48.989518488540014,33.2186985693796,30.999871090346524,64.14104109062545,0.05886174617495129,102.26276497514431,0.008251016192633447,0.18301763981708757,0.1294130141914197
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.6704903853000972,1.3081949999999978,-217.99885118789177,14000.30695591543,0.13620536408865433,0.0,1.6865075850305303e-42,1.14373020064734,0.47301923196929957,4.996040656317674,0.004017001935859191,0.00047551369968867695,8.216585236513238,0.005941888119529727,0.041666666666666664,2,4.043806011610569,0.006655782361415317,1.9182958340544896,-1.4988983362135941,49.29951141907943,4437.293151299262,16.60934928468923,16.418045834959774,16.272116299430426,0.019068725062751892,0.07923855874071127,40.24055245925598,6.476751659523928e-05,0.11726021688654709,0.08291549452388276
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.670490383934447,1.3081920000000054,-217.9988587739934,14000.324404406778,0.1361988699464836,0.0,1.6865763217473737e-42,1.143727852207986,0.47301980407713,4.996040338757844,0.004016998765600194,0.0004754866690196781,8.216585235772758,0.005941888195529533,0.041666666666666664,2,4.043806011610569,0.006655782361415317,1.9182958340544896,-1.498898337942203,49.29951141463655,4437.293150087537,16.609349284689564,16.418045835034356,16.272116294912628,0.01906872554711255,0.07923855874071127,37.87763753521974,6.476074699509783e-05,0.11726030771990241,0.08291555875276427
