atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,site_symmetry_order,H0_persistence_max_death,H0_persistence_death_std,local_env_entropy,local_variational_free_energy,tensor_trace,tensor_determinant,tensor_eigenvalue_1,tensor_eigenvalue_2,tensor_eigenvalue_3,tensor_variance,structure_chemistry_incompatibility,charge_weighted_local_size,elf_weighted_local_anisotropy,lie_algebra_norm,lie_algebra_principal_angle
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935573,0.8726389999999995,-340.998839653903,9934.991090446532,0.21701111757293354,0.0,6.172125170244151e-26,1.0414330500486606,3.031417330564948,,1.4930804189662676e-16,1.2062447835101716e-28,17.69310431632694,3.067217424471378e-16,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706447,212.31725179592328,354480.2866167921,70.77241726530782,70.77241726530777,70.77241726530775,1.1443742198406145e-27,0.0,194.63637341467887,2.6176852853606363e-29,0.378722897967073,0.2677975293431382
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935562,0.8726389999999995,-340.9988396539018,9934.991090435613,0.21701620864017268,0.0,5.88367047953822e-26,1.0414296630338544,3.031412210679434,,1.4930804189662676e-16,7.513900122230137e-29,17.693104316326934,1.7708588056816613e-16,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706447,212.31725179592323,354480.2866167921,70.77241726530777,70.77241726530775,70.77241726530772,3.365806528942984e-28,0.0,182.84912116051592,1.6306381166273144e-29,0.30922595130905306,0.21865576708949258
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935617,0.8726389999999995,-340.99883965390313,9934.991090446021,0.2170162086401738,0.0,5.871037906164917e-26,1.0414296630338367,3.031412210679413,,1.4930804189662676e-16,1.6901344894360178e-28,17.693104316326938,3.346608576316094e-16,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706443,212.31725179592326,354480.2866167921,70.77241726530777,70.77241726530777,70.7724172653077,1.1443742198406145e-27,0.0,182.8491211605159,3.6678657898940044e-29,0.3092259513087328,0.21865576708926615
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935587,0.8726389999999995,-340.99883965390205,9934.991090435495,0.2170216808012526,0.0,5.662517356655602e-26,1.0414259816151588,3.0314078942322262,,1.927558532401583e-16,4.141519752410312e-29,17.693104316326934,5.227569709711841e-16,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706448,212.31725179592323,354480.28661679145,70.77241726530778,70.77241726530772,70.77241726530765,2.7599613537332465e-27,0.0,165.16824277927145,8.987995777396733e-30,0.218655767088996,0.1546129756541754
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935587,0.8726389999999995,-340.99883965390273,9934.991090429328,0.21701620864017246,0.0,5.869232091901073e-26,1.0414296630338264,3.0314122106794104,,1.3629897093951483e-16,1.3588129092431928e-28,17.693104316326938,1.3386434305264373e-16,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706444,212.31725179592326,354480.2866167921,70.77241726530777,70.77241726530777,70.77241726530774,2.0194839173657902e-28,0.0,182.84912116051592,2.9488442581528044e-29,0.3092259513089881,0.21865576708944665
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.2097322920293559,0.8726389999999995,-340.99883965390313,9934.991090437852,0.2170216808012577,0.0,5.66251735665573e-26,1.0414259816152167,3.0314078942321934,,1.8286425857041411e-16,5.443140246024981e-29,17.693104316326934,4.389036000818924e-16,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706448,212.31725179592323,354480.2866167921,70.77241726530782,70.77241726530774,70.77241726530772,2.0194839173657902e-27,0.0,165.16824277927145,1.1812794450293128e-29,0.21865576708945522,0.1546129756545001
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935592,0.8726389999999995,-340.99883965390325,9934.991090429407,0.21702168080125367,0.0,5.697455654254783e-26,1.0414259816151685,3.031407894232228,,1.6127111728650917e-16,1.139904008044362e-28,17.693104316326934,2.9175057175496757e-16,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706445,212.3172517959232,354480.2866167921,70.77241726530778,70.77241726530774,70.77241726530771,8.751096975251757e-28,0.0,165.16824277927148,2.4738388377787324e-29,0.21865576708965473,0.1546129756546412
55,0.79,3.89390572743,0.47162600000000005,1,1.88,2.32,12,1,0.20973229202935584,0.8726389999999995,-340.99883965390194,9934.991090437148,0.2170271223846413,0.0,5.57539214040425e-26,1.041422222499202,3.031403857636743,,1.8286425857041411e-16,3.01739296247037e-29,17.693104316326934,6.693217152632188e-17,1.0,48,4.206317191597294,7.085212729562556e-16,0.0,0.7902677079706444,212.3172517959232,354480.2866167921,70.77241726530774,70.77241726530774,70.77241726530772,6.731613057885967e-29,0.0,141.59373827094552,6.548561117486125e-30,0.0,0.0
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.896814011469159,1.1269510000000054,-220.380331648461,18152.628798119247,0.15967407631831027,0.0,2.1525066804292216e-24,1.1408824648759788,0.5142914506774295,4.996767025744212,1.724060763623868e-16,1.9721522630525295e-30,8.846552158163465,1.1592992174450442e-16,1.0,48,4.206317191597292,0.0,0.0,0.10318598853084134,53.07931294898079,5538.754478387374,17.693104316326934,17.69310431632693,17.693104316326927,2.103629080589365e-29,0.0,35.39843456773637,3.1490159096197788e-31,0.0,0.0
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.8968140114691554,1.1269510000000054,-220.38033164846493,18152.628798119138,0.15967407631831126,0.0,2.1525066804290446e-24,1.1408824648759626,0.514291450677418,4.996767025744269,2.0216404441486516e-16,9.860761315262648e-31,8.846552158163467,1.7708588056816618e-16,1.0,48,4.206317191597292,0.0,0.0,0.10318598853084497,53.0793129489808,5538.754478387374,17.693104316326938,17.693104316326934,17.693104316326927,2.103629080589365e-29,0.0,38.34524763127712,1.5745079548098995e-31,0.0,0.0
