atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,structure_chemistry_incompatibility,chemical_in_structural_metric,charge_weighted_local_size,elf_weighted_local_anisotropy
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075199525,0.8142920000000018,-334.530702062935,5510.196254675744,0.2307701603363857,0.0,9.959337593023572e-43,1.0927276482142823,3.0275468302853272,,0.02670165975090398,1.1424426431010772,16.180778949514288,0.13788247030375503,1.0,2.1858912477831676,150.51357597241588,112.19783501728587,0.26364167192355986
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075197768,0.8142920000000018,-334.53070206290164,5510.1962546580935,0.2307701603363518,0.0,9.959337592929285e-43,1.0927276482144574,3.027546830285143,,0.026701659750883733,1.1424426430984969,16.180778949514853,0.13788247030371598,1.0,2.185891247783026,150.51357597241744,124.69161956501307,0.26364167192292565
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075199867,0.8142920000000018,-334.53070206294075,5510.196254680868,0.23077007929314283,0.0,9.960741387804383e-43,1.0927276740004948,3.0275468869252924,,0.026701659750907273,1.1424426431007166,16.180778949514174,0.1378824703037455,1.0,0.17022819039511622,156.74834338089576,92.90536728493467,0.26364157933622007
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075198485,0.8142920000000018,-334.5307020629306,5510.196254668094,0.230770079292982,0.0,9.960741387713636e-43,1.0927276740007377,3.0275468869250908,,0.026701659750894412,1.1424426431007055,16.180778949514618,0.13788247030371842,1.0,0.1702281903948972,156.74834338089502,111.25389407903725,0.2636415793360337
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075197761,0.8142920000000018,-334.5307020629009,5510.196254657795,0.2307701603363535,0.0,9.95933759300299e-43,1.0927276482140214,3.0275468302854724,,0.02670165975088426,1.1424426430986616,16.18077894951486,0.13788247030371611,1.0,2.185891247783053,150.51357597241724,124.6916195650131,0.2636416719229656
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075199563,0.8142920000000018,-334.5307020629357,5510.196254675828,0.23077016033638467,0.0,9.959337592940538e-43,1.0927276482142034,3.0275468302852584,,0.026701659750904133,1.1424426431011137,16.180778949514277,0.1378824703037547,1.0,2.185891247783133,150.51357597241594,112.19783501728574,0.2636416719235671
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075198518,0.8142920000000018,-334.5307020629305,5510.196254668024,0.23077007929298218,0.0,9.960741387784674e-43,1.0927276740003509,3.027546886925388,,0.026701659750894478,1.1424426431007162,16.18077894951461,0.13788247030371806,1.0,0.17022819039493342,156.74834338089482,111.25389407903722,0.26364157933603644
55,0.79,3.89390572743,0.47162600000000005,1,1.78,2.32,9,1,0.6089165075199828,0.8142920000000018,-334.5307020629401,5510.196254680523,0.23077007929314344,0.0,9.960741387711943e-43,1.0927276740005791,3.027546886925175,,0.026701659750906763,1.1424426431007768,16.180778949514192,0.1378824703037455,1.0,0.17022819039503598,156.74834338089582,92.90536728493478,0.26364157933623467
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.487556507446453,0.9340870000000052,-215.86171169786908,6999.795766003661,0.10084090493309625,0.0,1.7638036032229022e-42,1.0857887128154506,0.6590439580730175,4.991578685056686,0.027887122227367066,0.6481622622643268,10.725641245493039,0.05681132451560764,0.5,1.4334176011285182,22.894803762072257,60.734836635589346,0.06536126907021758
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.4875565074467623,0.9340870000000052,-215.86171169787124,6999.795766010338,0.10084090493306348,0.0,1.7637513413646897e-42,1.085788712815437,0.6590439580728886,4.991578685054469,0.02788712222736699,0.648162262264251,10.72564124549262,0.05681132451559172,0.5,1.4334176011285886,22.894803762071575,60.734836635587065,0.0653612690701887
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.4875565074463943,0.9340870000000052,-215.861711697871,6999.795766006766,0.10084110897070439,0.0,1.7638446431864516e-42,1.085788603610716,0.6590438597147107,4.991578779092444,0.02788712222736905,0.6481622622637785,10.725641245493145,0.056811324515622035,0.5,1.43342211921802,23.494430667035598,45.93216176546273,0.06536140131963997
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.4875565074466768,0.9340870000000052,-215.86171169786792,6999.795766001452,0.10084110897070298,0.0,1.7637923666052647e-42,1.0857886036107702,0.6590438597146585,4.991578779091502,0.027887122227368173,0.64816226226374,10.725641245492717,0.056811324515584107,0.5,1.4334221192182093,23.49443066703543,36.48928005107926,0.06536140131963517
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.4875565074467862,0.9340870000000052,-215.86171169787153,6999.795766010719,0.10084090493306336,0.0,1.7636990775949285e-42,1.085788712815591,0.6590439580730201,4.99157868505691,0.027887122227370175,0.6481622622644139,10.725641245492612,0.05681132451559224,0.5,1.433417601128588,22.89480376207154,60.73483663558706,0.06536126907020504
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.4875565074464498,0.9340870000000052,-215.8617116978689,6999.795766004529,0.10084090493309186,0.0,1.7637513394534284e-42,1.0857887128156334,0.6590439580729268,4.991578685054487,0.027887122227369204,0.6481622622644598,10.725641245493053,0.05681132451560692,0.5,1.4334176011285165,22.894803762072392,60.73483663558946,0.06536126907022814
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.4875565074466848,0.9340870000000052,-215.86171169786792,6999.795766000591,0.10084110897070375,0.0,1.763740088113843e-42,1.08578860361083,0.6590438597147256,4.991578779092596,0.02788712222736982,0.6481622622638372,10.725641245492717,0.0568113245155833,0.5,1.4334221192182137,23.49443066703544,36.48928005107926,0.06536140131964548
82,1.8,7.4166799,0.35674316,4,1.19,1.44,6,2,1.4875565074464179,0.9340870000000052,-215.86171169787139,6999.795766008038,0.10084110897070403,0.0,1.763792364694382e-42,1.0857886036109288,0.6590438597147312,4.991578779091516,0.027887122227370303,0.6481622622638255,10.725641245493117,0.05681132451562209,0.5,1.4334221192180225,23.494430667035466,45.93216176546263,0.06536140131964446
53,2.66,10.451236,3.0590368,7,2.2,1.33,5,-1,-0.6783593807086452,-0.5821650000000034,-245.34215382664414,3344.6261578333006,0.1778027738296449,0.0,8.979549136963418e-43,0.9750122464466673,2.574012461374458,,0.10079121110746843,0.8908107564253832,13.999066279626893,0.20041146926683592,1.0,0.9338258036352194,17.970892284961515,64.03859266923959,0.1583886234497173
53,2.66,10.451236,3.0590368,7,2.2,1.33,5,-1,-0.6783593807082825,-0.5821650000000034,-244.1723326136773,1443.1550466390718,0.1829822119541985,0.0,8.980460494211094e-43,0.9750122464438469,2.5740124613766007,,0.1007912111074827,0.8908107564249987,13.999066279628568,0.20041146926681283,1.0,0.9338258036350892,17.970892284962993,67.01696044485266,0.16300252264323903
53,2.66,10.451236,3.0590368,7,2.2,1.33,5,-1,-0.6783593807084919,-0.5821650000000034,-245.342153826647,3344.626157838591,0.1778027468662005,0.0,8.98008765315571e-43,0.9750122396167561,2.5740125233322515,,0.10079121110747674,0.8908107564257255,13.999066279627652,0.20041146926683884,1.0,1.034131572309162,16.372445365229467,62.63396849260165,0.15838859943045186
