site1_index,site2_index,site1_element,site2_element,bond_distance,site1_coord_num,site2_coord_num,delta_electronegativity,delta_ionic_radius,sum_covalent_radii,avg_bader_charge,delta_bader_charge,bond_midpoint_density,bond_density_laplacian,bond_midpoint_elf,elf_type,bond_charge_transfer,bond_elf_from_0simplex,bond_elf_asymmetry,bond_density_from_0simplex,bond_density_gradient,bond_effective_charge,bond_charge_imbalance,lie_algebra_incompatibility,quotient_algebra_orbit_size,pseudo_symplectic_coupling,tensor_algebraic_environment_alignment,lie_algebraic_bond_alignment_a,lie_algebraic_bond_alignment_b,lie_algebraic_bond_alignment_c,delta_structure_chemistry_incompatibility,bond_ends_anisotropy_mismatch
0,36,Cs,I,3.928096475325484,9,5,1.87,0.42000000000000015,3.65,0.09485199999999949,1.4388800000000046,0.057075600170575704,0.004232300933796563,0.07946295860033507,standard,1.4388800000000046,0.2034397271956846,0.05466086628140221,4960.325641892165,279.9679774860298,0.09485199999999949,-0.999999999999305,38.75957502043692,16,1.12333916360679,0.7404905291149901,0.3285872830740213,0.31739712450080465,0.3006495968739476,1.5303018692003776,0.06709738454507386
0,24,Cs,I,3.928098880806508,9,5,1.87,0.42000000000000015,3.65,0.09485199999999949,1.4388800000000046,0.05707534794853506,0.004232283369490141,0.07946255655132167,standard,1.4388800000000046,0.20343972719568787,0.05466086628139569,4960.325641892141,279.9678060398344,0.09485199999999949,-0.999999999999305,38.75957502043676,16,1.1233391581950796,0.7404905291149819,0.3285875070220083,0.3173970088207151,0.30064951175074234,1.530301869200285,0.06709738454505054
0,38,Cs,I,3.949115308706456,9,5,1.87,0.42000000000000015,3.65,0.09485199999999949,1.4388800000000046,0.054958858845385865,0.004068667071316639,0.08105309676877683,standard,1.4388800000000046,0.20344005161419398,0.0546602174443834,4960.325641894972,278.47787152142905,0.09485199999999949,-0.999999999999305,7.595836947850657,16,1.1196270395176553,0.9486639054186169,0.32739821090767374,0.4036882897727477,0.24922763023004812,1.012837863884912,0.06709738454508096
0,26,Cs,I,3.949117701384524,9,5,1.87,0.42000000000000015,3.65,0.09485199999999949,1.4388800000000046,0.054958617121889375,0.004068648714718732,0.08105268855044273,standard,1.4388800000000046,0.2034400516141887,0.054660217444394005,4960.325641890806,278.4777028003085,0.09485199999999949,-0.999999999999305,7.5958369478511365,16,1.1196270428620707,0.948663905418609,0.32739843239543676,0.40368797237806864,0.24922762266588055,1.0128378638848947,0.06709738454505776
0,31,Cs,I,4.0047356675643755,9,5,1.87,0.42000000000000015,3.65,0.11606349999999921,1.3964570000000052,0.04834301428192173,0.0036451679608216574,0.057162809327186155,standard,1.3964570000000052,0.20428645360129266,0.0529674134701861,4427.411206256992,540.7523184055823,0.11606349999999921,-0.9999999999992838,29.058337858630452,16,1.1254775744599268,0.8089317572026958,0.32437860162963184,0.2514262086796419,0.4028998544040863,1.151759675474003,0.021153181396627696
0,19,Cs,I,4.0047378039330015,9,5,1.87,0.42000000000000015,3.65,0.11606349999999921,1.3964570000000052,0.048342708336077456,0.003645144636397165,0.05716203229045308,standard,1.3964570000000052,0.20428645360130285,0.0529674134701657,4427.411206252527,540.7520299379187,0.11606349999999921,-0.9999999999992838,29.058337858626615,16,1.1254775910218686,0.8089317572026855,0.32437879644922263,0.251426199554557,0.4028995769304782,1.1517596754740027,0.021153181396615373
0,21,Cs,I,4.063342605890764,9,5,1.87,0.42000000000000015,3.65,0.13678349999999995,1.3550170000000037,0.04225660175309055,0.002979551913939724,0.0573041263817911,standard,1.3550170000000037,0.2047643634431106,0.05201159378655021,4214.457086936826,637.7700791757616,0.13678349999999995,-0.9999999999992619,0.7933733355277218,16,1.1206981128015379,0.9912247113514843,0.24311673443460746,0.25830716132772197,0.6639327583830724,1.0252064464892785,0.040040898552059945
0,18,Cs,I,4.075441502562179,9,5,1.87,0.42000000000000015,3.65,0.11606349999999921,1.3964570000000052,0.043800749578612574,0.0029745336659169055,0.06726771302806611,standard,1.3964570000000052,0.2042864536012931,0.05296741347018519,4427.411206257168,531.3706736988262,0.11606349999999921,-0.9999999999992838,29.05833785863033,16,1.123944790509889,0.8089317572026952,0.2431167344346066,0.3362672373268177,0.40606685483979865,1.151759675474006,0.02115318139662714
0,23,Cs,I,4.287220107360558,9,5,1.87,0.42000000000000015,3.65,0.13678349999999995,1.3550170000000037,0.028078181380171725,0.0020090900722357324,0.045427899215330726,standard,1.3550170000000037,0.20476408514056826,0.0520121503916349,4214.457086939408,604.4658941169968,0.13678349999999995,-0.9999999999992619,2.9234050740024644,16,1.1179756538376693,0.8046720204991341,0.243116734434606,0.6998219959788884,0.25450614336152644,1.5126023325111495,0.04004089855205406
1,37,Cs,I,3.928096475325438,9,5,1.87,0.42000000000000015,3.65,0.09485199999999949,1.4388800000000046,0.06140087211118492,0.008390661348521036,0.19298354508188287,standard,1.4388800000000046,0.2034397271956714,0.0546608662813608,4960.325641883679,279.96797748136663,0.09485199999999949,-0.999999999999305,38.75957502043547,16,1.0,0.7404905291150444,0.32858728307404494,0.3173971245007897,0.3006495968739411,1.5303018692001407,0.06709738454506231
