atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,structure_chemistry_incompatibility,chemical_in_structural_metric,charge_weighted_local_size,elf_weighted_local_anisotropy
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661722,-0.7002030000000019,-207.34906639667548,2246.5336124491505,0.21284774170673507,0.0,1.7306477942910084e-22,0.9668519160773281,2.681106543844839,,0.15300968740935358,5.127595883936577e-30,14.744253596939108,0.2000000000000001,1.0,0.7262612811806373,17.229542670838725,82.83342607600505,1.0913972042806504e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661716,-0.7002030000000019,-207.3490663966767,2246.533612449237,0.2128477417067358,0.0,1.7289219374404515e-22,0.9668519160773411,2.6811065438448285,,0.15300968740935358,4.9303806576313224e-30,14.744253596939108,0.20000000000000004,1.0,0.7581983695538128,17.62900071021119,82.83342607600505,1.0494203887313978e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661701,-0.7002039999999994,-207.3490721651491,2246.533561790142,0.21284834940490824,0.0,1.7395235039040014e-22,0.9668499647013736,2.6810976230438532,,0.15300968740935353,6.508102468073347e-30,14.74425359693911,0.19999999999999996,1.0,0.6621780643892482,19.08590354911091,84.65782398792675,1.3852388680874214e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661721,-0.7002030000000019,-207.34906639667545,2246.533612449172,0.21284774170673482,0.0,1.7360848166056264e-22,0.9668519160773305,2.6811065438448503,,0.15300968740935367,2.465190328815662e-29,14.74425359693911,0.20000000000000015,1.0,0.8599532739444445,17.22954267083873,86.56168163133285,5.2471019436569665e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661715,-0.7002030000000019,-207.34906639667668,2246.533612449257,0.21284774170673543,0.0,1.7342762067448475e-22,0.9668519160773572,2.6811065438448325,,0.15300968740935367,2.4651903288156616e-29,14.74425359693911,0.2000000000000001,1.0,0.8526272947343982,17.629000710211194,86.56168163133285,5.247101943656981e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661707,-0.7002030000000019,-207.34906639667534,2246.5336124491446,0.21284774170673498,0.0,1.734834140048475e-22,0.9668519160773342,2.6811065438447277,,0.15300968740935367,3.332937324558775e-29,14.744253596939112,0.2000000000000001,1.0,0.5840632757414089,19.085903549110913,86.56168163133285,7.094081827824225e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661695,-0.7002039999999994,-207.34907216514864,2246.533561790111,0.2128483494049101,0.0,1.7372145090131003e-22,0.9668499647013755,2.681097623043962,,0.15300968740935347,1.0255191767873153e-29,14.74425359693911,0.1999999999999998,1.0,0.8793151661628925,17.229542670838732,84.65782398792676,2.1828006406226228e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661721,-0.7002030000000019,-207.34906639667696,2246.5336124492587,0.21284774170673518,0.0,1.734758768078856e-22,0.9668519160773539,2.6811065438448107,,0.15300968740935367,3.0173929624703696e-29,14.744253596939112,0.20000000000000007,1.0,1.0445369363461665,17.629000710211194,86.56168163133285,6.422452779036137e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661707,-0.7002039999999994,-207.3490721651488,2246.5335617901696,0.21284834940490927,0.0,1.7423621139522737e-22,0.9668499647013673,2.6810976230438324,,0.1530096874093536,4.417621069237666e-29,14.744253596939117,0.19999999999999987,1.0,0.7139676855891854,19.085903549110917,88.38609723635884,9.402833528835877e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661693,-0.7002039999999994,-207.3490721651486,2246.533561790134,0.21284834940490846,0.0,1.740338111699467e-22,0.966849964701377,2.681097623043964,,0.15300968740935356,1.6487192919119147e-28,14.744253596939112,0.19999999999999993,1.0,0.9684426212208925,17.229542670838732,88.38609723635881,3.509271799154805e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.702182101166172,-0.7002030000000019,-207.3490663966764,2246.5336124492865,0.212847741706734,0.0,1.7388607901263493e-22,0.9668519160773468,2.681106543844836,,0.15300968740935372,1.8479066704802202e-28,14.744253596939116,0.2000000000000002,1.0,0.6738859140332488,17.6290007102112,88.42580940899676,3.9332276169652475e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661707,-0.7002030000000019,-207.34906639667545,2246.5336124491314,0.2128477417067366,0.0,1.7348341400490524e-22,0.9668519160773277,2.6811065438447423,,0.1530096874093537,1.203012880462043e-29,14.744253596939112,0.2000000000000001,1.0,0.7617162035108205,19.085903549110913,86.56168163133285,2.5605857485046213e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661721,-0.7002030000000019,-207.34906639667554,2246.533612449198,0.21284774170673437,0.0,1.7331893274736737e-22,0.9668519160773302,2.6811065438448596,,0.15300968740935367,3.01739296247037e-29,14.744253596939112,0.2000000000000001,1.0,0.8793151661628925,17.229542670838732,86.56168163133285,6.422452779036114e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.70218210116617,-0.7002039999999994,-207.34907216514824,2246.5335617900923,0.2128483494049097,0.0,1.735193963008072e-22,0.9668499647013621,2.6810976230439225,,0.1530096874093535,3.3526588471893e-30,14.744253596939112,0.19999999999999993,1.0,1.0491128696512693,17.629000710211194,84.65782398792676,7.136079017420099e-31
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661707,-0.7002039999999994,-207.3490721651486,2246.5335617901787,0.2128483494049088,0.0,1.742362113952917e-22,0.9668499647013429,2.681097623043844,,0.15300968740935364,2.2876966251409342e-29,14.744253596939117,0.19999999999999987,1.0,0.7362042983529148,19.085903549110917,88.38609723635884,4.8693245060042824e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.702182101166172,-0.7002030000000019,-207.3490663966752,2246.53361244921,0.2128477417067341,0.0,1.7372913495211952e-22,0.9668519160773306,2.6811065438448587,,0.15300968740935372,1.8479066704802202e-28,14.744253596939116,0.20000000000000023,1.0,0.8793151661628925,17.229542670838736,88.42580940899676,3.933227616965249e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.70218210116617,-0.7002039999999994,-207.34907216514813,2246.5335617901446,0.21284834940490918,0.0,1.7382637304030726e-22,0.9668499647013804,2.6810976230439287,,0.15300968740935358,1.5796939627050761e-28,14.744253596939112,0.19999999999999993,1.0,0.9684426212208924,17.629000710211198,88.38609723635881,3.362352525266756e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661727,-0.7002030000000019,-207.3490663966747,2246.533612449181,0.21284774170673507,0.0,1.7366157922339295e-22,0.9668519160773288,2.681106543844753,,0.15300968740935375,6.882811398053328e-29,14.744253596939117,0.2000000000000002,1.0,0.8532532264154076,19.085903549110917,88.42580940899677,1.464990862669027e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661692,-0.7002039999999994,-207.3490721651488,2246.533561790126,0.21284834940490918,0.0,1.7401839165070658e-22,0.9668499647013477,2.6810976230439474,,0.15300968740935364,8.914128228997433e-29,14.744253596939117,0.2,1.0,0.8593905379656268,17.22954267083874,88.38609723635884,1.89735747992581e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661693,-0.7002039999999994,-207.34907216514853,2246.5335617901255,0.21284834940491104,0.0,1.7384573632659194e-22,0.9668499647013769,2.681097623043919,,0.1530096874093535,3.1751651435145725e-29,14.744253596939116,0.19999999999999987,1.0,0.8532532264154071,17.6290007102112,88.38609723635882,6.758286598850842e-30
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661683,-0.7002039999999994,-207.34907216514875,2246.533561790221,0.21284834940490957,0.0,1.7433158046855602e-22,0.9668499647013314,2.6810976230438475,,0.15300968740935353,8.67746995743113e-29,14.744253596939123,0.19999999999999996,1.0,0.8793151661628923,19.08590354911092,90.25024270712703,1.846985157449907e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661691,-0.7002039999999994,-207.34907216514992,2246.5335617901414,0.2128483494049092,0.0,1.7418989680524885e-22,0.9668499647013525,2.68109762304395,,0.15300968740935364,1.6487192919119147e-28,14.744253596939123,0.19999999999999996,1.0,0.7060946603029802,17.229542670838747,90.25024270712701,3.509271799154817e-29
35,2.96,11.81381,3.3635882000000006,7,1.96,1.14,6,-1,-0.7021821011661692,-0.7002039999999994,-207.34907216514875,2246.533561790157,0.21284834940490974,0.0,1.7401724148112687e-22,0.9668499647013651,2.6810976230439385,,0.15300968740935356,1.0748229833636286e-28,14.744253596939117,0.19999999999999996,1.0,0.6788763444408263,17.629000710211205,90.250242707127,2.287742979114091e-29
