site_index,T_struct_00,T_struct_01,T_struct_02,T_struct_10,T_struct_11,T_struct_12,T_struct_20,T_struct_21,T_struct_22
16,35.38620863265386,5.747846458575362e-15,2.166780356797e-15,5.747846458575362e-15,35.38620863265386,2.1667803567969995e-15,2.166780356797e-15,2.1667803567969995e-15,17.693104316326927
17,35.38620863265386,2.6417227605435293e-15,4.426985078303596e-15,2.6417227605435293e-15,17.693104316326927,1.320861380271765e-15,4.426985078303596e-15,1.320861380271765e-15,35.38620863265386
18,17.693104316326927,5.690536358835359e-15,1.3208613802717658e-15,5.690536358835359e-15,35.38620863265386,1.3119559019119488e-15,1.3208613802717658e-15,1.3119559019119488e-15,35.38620863265386
19,35.38620863265386,5.747846458575362e-15,2.6417227605435304e-15,5.747846458575362e-15,35.38620863265386,2.64172276054353e-15,2.6417227605435304e-15,2.64172276054353e-15,17.693104316326938
20,35.38620863265386,2.6417227605435293e-15,4.381360081189905e-15,2.6417227605435293e-15,17.693104316326927,0.0,4.381360081189905e-15,0.0,35.386208632653876
21,17.693104316326927,5.690536358835359e-15,4.62134707582492e-31,5.690536358835359e-15,35.38620863265386,4.381360081189905e-15,4.62134707582492e-31,4.381360081189905e-15,35.386208632653876
22,35.38620863265386,5.7022214614616704e-15,2.1667803567969995e-15,5.7022214614616704e-15,35.38620863265388,2.1667803567970007e-15,2.1667803567969995e-15,2.1667803567970007e-15,17.693104316326927
23,35.38620863265386,2.6417227605435304e-15,4.465899807686696e-16,2.6417227605435304e-15,17.69310431632694,1.3208613802717658e-15,4.465899807686696e-16,1.3208613802717658e-15,35.38620863265386
24,17.693104316326927,5.690536358835362e-15,1.3208613802717654e-15,5.690536358835362e-15,35.38620863265388,4.922149778823617e-16,1.3208613802717654e-15,4.922149778823617e-16,35.38620863265387
25,35.38620863265386,5.7022214614616704e-15,0.0,5.7022214614616704e-15,35.38620863265388,0.0,0.0,0.0,17.693104316326945
26,35.38620863265386,2.6417227605435304e-15,1.6940123235326837e-15,2.6417227605435304e-15,17.69310431632694,5.2834455210870585e-15,1.6940123235326837e-15,5.2834455210870585e-15,35.386208632653876
27,17.693104316326927,5.690536358835362e-15,5.283445521087057e-15,5.690536358835362e-15,35.38620863265388,1.6483873264189971e-15,5.283445521087057e-15,1.6483873264189971e-15,35.386208632653876
28,35.38620863265389,7.934073759990407e-15,2.166780356797001e-15,7.934073759990407e-15,35.38620863265386,2.1667803567969995e-15,2.166780356797001e-15,2.1667803567969995e-15,17.693104316326927
29,35.38620863265388,0.0,4.922149778823617e-16,0.0,17.693104316326927,1.320861380271765e-15,4.922149778823617e-16,1.320861380271765e-15,35.38620863265387
30,17.693104316326938,5.28344552108706e-15,1.3208613802717658e-15,5.28344552108706e-15,35.38620863265386,4.465899807686696e-16,1.3208613802717658e-15,4.465899807686696e-16,35.38620863265387
31,35.38620863265389,7.934073759990407e-15,0.0,7.934073759990407e-15,35.38620863265386,0.0,0.0,0.0,17.693104316326945
32,35.38620863265388,0.0,1.6483873264189971e-15,0.0,17.693104316326927,5.283445521087058e-15,1.6483873264189971e-15,5.283445521087058e-15,35.386208632653876
33,17.693104316326938,5.28344552108706e-15,5.283445521087064e-15,5.28344552108706e-15,35.38620863265386,1.6940123235326837e-15,5.283445521087064e-15,1.6940123235326837e-15,35.386208632653876
34,35.38620863265389,3.4247441658192476e-15,2.166780356797001e-15,3.4247441658192476e-15,35.38620863265388,2.1667803567970007e-15,2.166780356797001e-15,2.1667803567970007e-15,17.693104316326927
35,35.3862086326539,5.2834455210870585e-15,1.6940123235326837e-15,5.2834455210870585e-15,17.69310431632694,0.0,1.6940123235326837e-15,0.0,35.38620863265386
36,17.693104316326945,5.283445521087063e-15,7.888609052210118e-31,5.283445521087063e-15,35.38620863265388,8.286464023894041e-16,7.888609052210118e-31,8.286464023894041e-16,35.38620863265386
37,35.38620863265389,3.4247441658192476e-15,2.6417227605435293e-15,3.4247441658192476e-15,35.38620863265388,2.6417227605435293e-15,2.6417227605435293e-15,2.6417227605435293e-15,17.693104316326945
38,35.3862086326539,5.2834455210870585e-15,7.84282376576303e-15,5.2834455210870585e-15,17.69310431632694,0.0,7.84282376576303e-15,0.0,35.38620863265388
39,17.693104316326945,5.283445521087063e-15,4.733165431326071e-30,5.283445521087063e-15,35.38620863265388,6.9774578446197485e-15,4.733165431326071e-30,6.9774578446197485e-15,35.38620863265388
