atom_index_i,atom_index_j,atom_index_k,atom_symbol_i,atom_symbol_j,atom_symbol_k,triangle_area,bond_angle_variance,triangle_shape_factor,avg_bader_charge,variance_bader_charge,avg_structure_chemistry_incompatibility,variance_structure_chemistry_incompatibility,avg_tensor_variance,var_tensor_variance,avg_bond_distance,variance_bond_distance,avg_tensor_alignment,variance_tensor_alignment,density_at_barycenter,density_laplacian_at_barycenter,elf_at_barycenter,elf_barycenter_uncertainty,vfe_laplacian_variance,vfe_variance,lie_commutator_flux,structural_tensor_product_trace,structure_tensor_normal_projection,solid_angle_variance,triangle_sphericity,alpha_filtration_value
27,31,47,H,C,N,0.7737504598924922,0.3717644195154217,0.7260454116630936,-0.27740399999999993,0.2838423946606663,0.7746923211398444,8.230838773896653e-05,0.2991707245473925,0.004005052778848565,1.29414231279029,0.039367826370076964,0.7471172531135883,0.06213905314407106,1.3466307094986727,0.005352369598408904,0.48316956124148314,0.0,2.3084068861665528,0.25648965401850593,0.5419507736709324,3.336954647750821,3.011346521534925,15.21305804971876,0.2937768287639157,1.2527019296170454
6,28,44,H,C,N,0.7232096069434235,0.4249680170599775,0.6915370613723064,-0.15924400000000005,0.4071940702286671,0.7746923211398444,8.230838773896653e-05,0.28117516138731474,0.003974082197006787,1.2696938304036656,0.04930314650326681,0.7381578288939027,0.06663439442818944,2.4721315095665135,-0.23538610695879003,0.7164949946803361,0.0,1.9513347187289656,0.21681496874766285,0.7181502440897257,3.2635273829603473,3.0086439051481206,15.205736373965399,0.27051604810027957,1.315260253002319
4,6,44,H,H,N,0.5220573352557096,0.32782786777850037,0.7686639986246293,-0.032795000000000206,0.49969859487266693,0.781951236435274,4.8181801884892836e-05,0.296921540969072,0.0022785329390004913,1.0432543547651005,1.932795549459982e-05,0.47615123579531515,1.4978493224869377e-05,3.025980708720462,-0.16325575547030846,0.6541976252076066,0.0,1.496115425011843,0.16623504722353813,1.4064502378905264,0.06613686019572415,2.1625553970197298,1.7738407976761401,0.3191548450133689,0.7581759035752009
16,18,46,H,H,N,0.5226648277574185,0.32506037772112495,0.7703120173820776,-0.03001533333333306,0.49787427808822166,0.781951236435274,4.8181801884892836e-05,0.29695022740544247,0.002271274074705357,1.0433390205308828,2.0096550104728726e-05,0.47505104675236326,8.000544985531707e-06,3.0123485948373263,-0.15610417358795248,0.654216322612412,0.0,1.4973790361889965,0.16637544846544408,1.4012008806335756,0.06366087854192146,2.172692857715284,1.7739063129150299,0.3203879026274217,0.7548416372539897
1,37,42,Ge,I,I,3.9226937513705957,0.1823604880379737,0.8603073068571628,-0.10262766666666678,0.28562425446488954,0.7362217033953494,2.1994872800095696e-05,10.017489594184168,28.41309387151431,2.8055963201470844,0.0006565558877169871,0.5954482779065602,0.0001491751255173651,0.16568167841466974,0.009351141351381799,0.22544214637723387,0.0,4.592268069858162,0.510252007762018,28.231164785888886,5.2455420894280484,6.972736994175613,0.9343886680460557,0.01962678545785581,345.41545659787965
24,31,47,H,C,N,0.7257864295232812,0.4188575007785605,0.6948252857380163,-0.15798833333333326,0.40810410830155525,0.7746923211398444,8.230838773896653e-05,0.28170470208524695,0.0038759738946656346,1.2702159366116386,0.04943491900017735,0.7363123098837367,0.06764264892763173,2.446446821249867,-0.21790518346807847,0.7174812393642391,0.0,1.9482162721861391,0.21646847468734887,0.7075832344451956,3.226774512224767,3.0132871152369063,15.21305804971876,0.27289058829405843,1.3032431807050142
22,23,47,H,H,N,0.5216272262171436,0.33046670577039894,0.7670927268817889,-0.04404299999999983,0.4864089828126663,0.781951236435274,4.8181801884892836e-05,0.2968638798541278,0.002262499754641545,1.0433279923158376,2.2825779688590237e-05,0.4739636180694945,6.749328477135416e-07,3.0254469355390015,-0.2319514561365111,0.6349506969148178,0.0,1.506939239605553,0.1674376932895059,1.3752443569203152,0.07236625515309263,2.184506565893502,1.7814449602010403,0.31798157143389205,0.7615919267691922
21,30,46,H,C,N,0.7733855021857341,0.3717579286643368,0.7261190677008186,-0.2763773333333332,0.28269840450288836,0.7746923211398444,8.230838773896653e-05,0.298727509330633,0.004115237126642027,1.2937794817346164,0.039182754401100264,0.7472882985855448,0.062004915694287344,1.3484068360296961,0.006168026561437168,0.4834049926618213,0.0,2.3131049517895526,0.25701166130995023,0.5416382146544932,3.3413288205546157,3.0094677436878348,15.205515227971004,0.29380571886633966,1.2519918329780344
25,27,31,H,H,C,0.5627531488211261,0.38628563948982225,0.7345731568219457,0.1063309999999999,0.0005032152406666699,0.7796005693958362,0.00010538370253244203,0.28460902339500327,0.0025439717238979437,1.0956794603903415,2.4582499607689104e-09,0.49703237389955923,6.525702563094632e-07,1.8601768688778617,0.2732232320894575,0.459591808926705,0.0,2.712063887709657,0.30134043196773974,1.014919341025663,0.231708657284041,2.2824766374496144,19.29436392656152,0.2939776762697772,0.9205394398469612
25,31,47,H,C,N,0.7749981438788128,0.3675845505096129,0.7284061216705213,-0.2782676666666666,0.2831514417508885,0.7746923211398444,8.230838773896653e-05,0.2991320771901927,0.004003420119882067,1.2940927320484565,0.03938750378272381,0.7463094349061249,0.06254244681149553,1.3459286030340512,0.006950380556069394,0.4709483790763608,0.0,2.3098978828823844,0.256655320320265,0.5247616132564461,3.320695789934568,3.012960124635726,15.21305804971876,0.29551548945442246,1.244032907490822
4,28,44,H,C,N,0.715690776977613,0.42978312757959,0.6879263141213213,-0.16431266666666677,0.4008195798642225,0.7746923211398444,8.230838773896653e-05,0.27821696155599734,0.004071289694669991,1.2652974733327942,0.051274836127468186,0.7342876230563703,0.0686474548271288,2.4785228707278404,-0.23604531618864527,0.7295016658275916,0.0,1.9772892735822223,0.21969880817580256,0.7408175434552811,3.16389602123234,3.0513860737345753,15.205736373965399,0.26828376230276113,1.3164267069164335
