atomic_number,electronegativity,ionization_energy,electron_affinity,valence_electrons,ionic_radius,covalent_radius,coordination_number,avg_site_valence,bond_valence_sum,bader_charge,electrostatic_potential,electron_density,elf,local_magnetic_moment,local_dos_fermi,s_electron_count,p_electron_count,d_electron_count,bond_length_distortion,vectorial_asymmetry_norm_sq,mean_squared_neighbor_distance,local_environment_anisotropy,symmetry_breaking_quotient,site_symmetry_order,H0_persistence_max_death,H0_persistence_death_std,local_env_entropy,local_variational_free_energy,tensor_trace,tensor_determinant,tensor_eigenvalue_1,tensor_eigenvalue_2,tensor_eigenvalue_3,tensor_variance,structure_chemistry_incompatibility,charge_weighted_local_size,elf_weighted_local_anisotropy,lie_algebra_norm,lie_algebra_principal_angle
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1012723517819891,0.11968400000000001,-63.649000495787526,2.4345429939590373,0.9984742219267569,0.0,4.3512614932896224e-32,0.8628095227110381,0.0,,0.0,1.2000821428324888,1.2000821428324888,1.0,1.0,1,0.0,0.0,0.0,1.1012723517819891,1.2000821428324888,-4.059923765320617e-34,1.2000821428324886,7.757614182914075e-19,-2.853133703392032e-17,0.3200438110100928,0.7868594846912658,0.09229231719453256,1.1982510838128644,2.8156143068557045,1.9909399695835293
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.0175682294652604,0.45744300000000004,-69.59169738308545,2.42696016698112,0.9940390524724924,0.0,2.136438510806508e-32,0.812041691641536,0.0,,0.0,1.0792220026207633,1.079222002620763,0.9999999999999996,1.0,1,0.0,0.0,0.0,1.01756822946526,1.079222002620763,0.0,1.0792220026207628,2.220446049250313e-16,-3.469446951953614e-18,0.2588266957646155,0.7868594846912658,1.1092243742936194,1.0727888168926092,3.5175789547083625,2.4873039322333708
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.9877565515350353,0.440426,-72.23921227722316,2.53327180584793,0.991974223742507,0.0,7.340407240435755e-32,0.7933781746247133,0.0,,0.0,1.0984588217415654,1.0984588217415652,1.0,1.0,1,0.0,0.0,0.0,1.0122434484649647,1.0984588217415652,-1.9239732990606595e-34,1.0984588217415654,7.74160648172123e-17,-8.02712577814003e-18,0.2681359517915263,0.7868594846912658,1.1289959769859799,1.0896428370101983,3.486041845306103,2.465003828316011
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.9885595880676376,0.48031100000000004,-65.98428185382721,2.2216814937956655,0.9915061872666079,0.0,6.71307642164376e-32,0.7942844704793491,0.0,,0.0,1.0979308140041302,1.09793081400413,1.0,1.0,1,0.0,0.0,0.0,1.0114404119323623,1.09793081400413,0.0,1.09793081400413,-1.548901351693433e-17,-1.0941107675339579e-16,0.267878238297727,0.7868594846912658,1.128453290633444,1.0886051952757583,3.1975781081388175,2.2610291636386095
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1003187009953999,0.12219000000000002,-65.21676199470534,2.527318782810698,0.9981748414956857,0.0,3.389321563231443e-32,0.8633517865002324,0.0,,0.0,1.2006706247871195,1.2006706247871195,0.9999999999999997,1.0,1,0.0,0.0,0.0,1.1003187009953996,1.2006706247871195,-7.578417071989702e-34,1.2006706247871195,1.5640028294219367e-16,-1.7622404864049174e-17,0.3203577664948204,0.7868594846912658,0.09058699662831332,1.198479210585409,2.6659870022182726,1.8851374878237357
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1028262603080021,0.08546600000000004,-66.31255708781221,2.572997679952482,0.997936634646904,0.0,2.3282305974081238e-32,0.8639565173658417,0.0,,0.0,1.1991246511271187,1.1991246511271187,0.9999999999999997,1.0,1,0.0,0.0,0.0,1.1028262603080017,1.1991246511271187,0.0,1.1991246511271187,2.315768840884791e-16,-9.532279163448768e-18,0.31953331754238534,0.7868594846912658,0.09047035755358725,1.1966504188679397,3.050362354454433,2.1569319059108922
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1000277927797029,0.12322100000000002,-63.836795853169235,2.4433345806885534,0.9984787371726442,0.0,4.392397402978202e-32,0.8623441807850133,0.0,,0.0,1.2008502696428334,1.2008502696428334,1.0,1.0,1,0.0,0.0,0.0,1.1000277927797029,1.2008502696428334,-4.0491053346443e-34,1.2008502696428331,7.023159437037711e-18,-1.5967882532299678e-16,0.3204536378002812,0.7868594846912658,0.09060055029374237,1.1990234607664056,2.7411524125810565,1.93828745920193
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.018572322209423,0.456122,-69.9141861277366,2.446325499539649,0.9941246153185657,0.0,2.0909218944646515e-32,0.8120673446127344,0.0,,0.0,1.078586848268591,1.078586848268591,1.0,1.0,1,0.0,0.0,0.0,1.018572322209423,1.078586848268591,0.0,1.0785868482685914,6.98306516182967e-17,-5.595286381048265e-17,0.2585221309462164,0.7868594846912658,1.1112949944423354,1.0722497356226772,3.610259541224129,2.5528390034430157
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.9876553503653399,0.44207399999999997,-71.76019671763407,2.5110052612592977,0.9920982809086648,0.0,7.357208641681085e-32,0.7934317396444464,0.0,,0.0,1.0985254023903794,1.0985254023903794,1.0,1.0,1,0.0,0.0,0.0,1.01234464963466,1.0985254023903794,0.0,1.0985254023903797,4.1794573043120207e-17,-1.6120961967683703e-19,0.26816845771043235,0.7868594846912658,1.1318381852178672,1.0898451632459947,3.3226453324908256,2.3494650460820936
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,0.9883862843517033,0.481718,-65.95276533692666,2.2203378985195594,0.9915037787038603,0.0,6.708981297191758e-32,0.7943446068232828,0.0,,0.0,1.098044716576599,1.098044716576599,1.0,1.0,1,0.0,0.0,0.0,1.0116137156482967,1.098044716576599,0.0,1.098044716576599,2.7343392100123205e-18,-5.824549044127016e-17,0.2679338221337297,0.7868594846912658,1.1313429226067837,1.088715485671507,3.2423817332145,2.292710110751364
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1007492921730957,0.12087999999999999,-65.19264740999483,2.526802612664217,0.9981730210401053,0.0,3.3879133486458013e-32,0.8635141433253838,0.0,,0.0,1.2004048331786037,1.2004048331786037,0.9999999999999998,1.0,1,0.0,0.0,0.0,1.1007492921730955,1.2004048331786037,-3.7951562833660988e-34,1.200404833178604,1.582495637924887e-16,-4.722726132997316e-17,0.3202159474485671,0.7868594846912658,0.08960061755811718,1.1982117188050305,2.7081482784224873,1.914950012131215
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1017174849392835,0.08877999999999997,-66.27236705603562,2.5694447674353187,0.9979542342600688,0.0,2.3467567589588801e-32,0.8634562004524275,0.0,,0.0,1.1998076823663522,1.1998076823663522,1.0,1.0,1,0.0,0.0,0.0,1.1017174849392835,1.1998076823663522,-1.883000689433079e-37,1.1998076823663526,9.492819355651445e-17,-5.329483013307131e-17,0.31989743881451516,0.7868594846912658,0.0895560450271891,1.197353156915261,3.0128002871632122,2.130371513413885
1,2.2,13.598434599702,0.754195,1,-0.38,0.32,1,1,1.1003972454721593,0.123471,-63.83151374563819,2.443654717392119,0.9984767448861982,0.0,4.3879826957897116e-32,0.862476679518218,0.0,,0.0,1.2006221315804357,1.2006221315804357,0.9999999999999997,1.0,1,0.0,0.0,0.0,1.1003972454721591,1.2006221315804357,0.0,1.200622131580436,1.3586894019942975e-16,2.9089378787148036e-18,0.3203318895201666,0.7868594846912658,0.08961683714542674,1.1987932777787622,2.8076375477324875,1.9852995491156111
6,2.55,11.260288,1.262119,4,,0.75,4,-2,-2.2978099377668717,0.0800850000000004,-219.55526779204388,275.67315124839746,0.016839525683533352,0.0,1.904492218473624e-33,0.6918516168359734,1.7243748246780086,,0.14360961675586115,0.1955895993603313,1.4564884031656957,0.16748897876079383,0.16666666666666666,1,2.1107730927171073,0.14754636621548556,0.8112781244591328,-0.0671565704324174,5.825953612662783,6.776278349839862,2.592504193203952,1.6182416685893224,1.6152077508695095,0.21158944530275114,0.7650827388049771,2.6916443706448443,0.0032936360818602976,0.8218516825125599,0.5811368978342045
6,2.55,11.260288,1.262119,4,,0.75,4,-2,-2.300193687150093,0.076905,-219.97093738194943,282.39873954501735,0.016882809427323283,0.0,1.884565390117311e-33,0.6918534560400474,1.7240169427747327,,0.14387263293205246,0.19500802110167037,1.45715548791663,0.16808266272802655,0.16666666666666666,1,2.112894497152881,0.14871299176604474,0.8112781244591328,-0.06391612090577203,5.82862195166652,6.781944259793798,2.5959971036881537,1.6182279495117142,1.6143968984666512,0.21328735096687948,0.7650827388049771,2.703007758436165,0.0032922832570589384,0.9734102908916622,0.6883050175662642
6,2.55,11.260288,1.262119,4,,0.75,4,-2,-2.297820167937794,0.0754469999999996,-219.99058857893712,282.0427107410304,0.01705318078884708,0.0,1.905682971413603e-33,0.691847102348455,1.724401296264206,,0.14360785544659904,0.1955939506544075,1.4564728698578562,0.1674882702339137,0.16666666666666666,1,2.110759075539036,0.14753872723516664,0.8112781244591328,-0.06714881009763729,5.825891479431425,6.776064839135094,2.592472690618252,1.6185468687141953,1.6148719200989772,0.21158314203763293,0.7650827388049771,2.6842720729876866,0.0033354990017144454,0.8125239968054172,0.5745412280179072
